"Metro Area",Year,"OneD Index","Economic Prosperity Index","Educational Preparedness Index","Social Equity Index","Quality of Life Index","Regional Transit Index"
"Phoenix-Mesa-Glendale, AZ",2012,1.01,1.11,-99,-99,1.8,0.12
"Pittsburgh-New Castle, PA",2012,2.22,1.66,3.22,2.18,2.44,1.61
"Portland-Vancouver-Hillsboro, OR-WA",2012,2.04,2.23,-99,-99,3.73,0.17
"Raleigh-Durham-Cary, NC",2012,2.48,0.91,3.99,2.64,3.4,1.47
"Richmond, VA",2012,1.43,1.16,-99,-99,3.02,0.12
"Rochester-Batavia-Seneca Falls, NY",2012,2.29,0.7,2.9,2.55,3.71,1.58
"Sacramento-Arden-Arcade-Yuba City, CA-NV",2012,2.17,0.78,3.01,2.78,2.55,1.71
"Salt Lake City-Ogden-Clearfield, UT",2012,2.68,1.67,3.37,3.81,2.97,1.58
"San Antonio-New Braunfels, TX",2012,1.32,1.43,-99,-99,2.43,0.11
"San Diego-Carlsbad-San Marcos, CA",2012,1.09,0.94,-99,-99,2.06,0.29
"San Jose-San Francisco-Oakland, CA",2012,2.89,2.85,3.66,2.47,3.61,1.86
"Seattle-Tacoma-Olympia, WA",2012,2.9,3.12,3.33,3.05,3.16,1.85
"St. Louis-St. Charles-Farmington, MO-IL",2012,2.06,1.86,2.99,2.41,1.7,1.31
"Tampa-St. Petersburg-Clearwater, FL",2012,1.68,1.68,-99,-99,3.26,0.1
"Virginia Beach-Norfolk-Newport News, VA-NC",2012,1.63,1.69,-99,-99,3.08,0.13
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",2012,3.47,3.87,3.95,3.59,2.85,3.07
